Date,GPUID,Code,Percent_Usage
2020-07-01,0,nnet3-chain-train,49.6
2020-07-01,0,gmx_mpi,17.5
2020-07-01,0,python,13.3
2020-07-01,0,python3,10.0
2020-07-01,0,null,0.0
2020-07-02,0,python3,38.8
2020-07-02,0,pmemd.cuda,38.3
2020-07-02,0,gmx_mpi,13.7
2020-07-02,0,null,0.0
2020-07-03,0,nnet3-chain-train,59.2
2020-07-03,0,gmx_mpi,36.2
2020-07-03,0,namd2,3.3
2020-07-03,0,null,0.0
2020-07-04,0,namd2,68.8
2020-07-04,0,python,19.2
2020-07-04,0,gmx_mpi,12.1
2020-07-05,0,pmemd.cuda,85.4
2020-07-05,0,python,14.6
2020-07-06,0,gmx_mpi,83.3
2020-07-06,0,pmemd.cuda,13.3
2020-07-06,0,null,0.0
2020-07-07,0,namd2,78.3
2020-07-07,0,null,0.0
2020-07-07,0,pmemd.cuda,9.2
2020-07-08,0,python3,55.0
2020-07-08,0,pmemd.cuda,26.2
2020-07-08,0,python,11.7
2020-07-08,0,null,0.0
2020-07-09,0,pmemd.cuda,99.2
2020-07-09,0,null,0.0
2020-07-10,0,namd2,50.0
2020-07-10,0,pmemd.cuda,30.0
2020-07-10,0,null,0.0
2020-07-10,0,python,6.7
2020-07-10,0,python3,0.8
2020-07-11,0,pmemd.cuda,34.6
2020-07-11,0,nnet3-chain-train,27.9
2020-07-11,0,gmx_mpi,12.9
2020-07-11,0,null,0.0
2020-07-11,0,python,11.7
2020-07-11,0,python3,1.2
2020-07-12,0,gmx_mpi,87.5
2020-07-12,0,null,0.0
2020-07-13,0,pmemd.cuda,80.0
2020-07-13,0,null,0.0
2020-07-13,0,python,8.3
2020-07-13,0,python3,3.3
2020-07-14,0,pmemd.cuda,69.6
2020-07-14,0,gmx_mpi,28.3
2020-07-14,0,python,2.1
2020-07-14,0,null,0.0
2020-07-15,0,gmx_mpi,50.0
2020-07-15,0,pmemd.cuda,34.2
2020-07-15,0,null,0.0
2020-07-15,0,python3,5.0
2020-07-16,0,gmx_mpi,53.8
2020-07-16,0,pmemd.cuda,20.0
2020-07-16,0,null,0.0
2020-07-16,0,python,6.2
2020-07-16,0,python3,5.4
2020-07-17,0,gmx_mpi,42.5
2020-07-17,0,pmemd.cuda,28.3
2020-07-17,0,python,21.7
2020-07-17,0,null,0.0
2020-07-18,0,python,42.9
2020-07-18,0,pmemd.cuda,35.8
2020-07-18,0,null,0.0
2020-07-19,0,namd2,65.8
2020-07-19,0,pmemd.cuda,32.5
2020-07-19,0,null,0.0
2020-07-20,0,python,42.5
2020-07-20,0,namd2,34.2
2020-07-20,0,gmx_mpi,23.3
2020-07-21,0,pmemd.cuda,90.4
2020-07-21,0,python,9.2
2020-07-21,0,null,0.0
